Movie Name,Script File,Budget,Domestic Gross,Worldwide Gross
Hall Pass,Hall-Pass_Screenplay.txt,"$68,000,000","$45,060,734","$87,173,475"
Mystery Men,Mystery-Men_Screenplay.txt,"$68,000,000","$29,762,011","$33,462,011"
Entrapment,Entrapment_Screenplay.txt,"$66,000,000","$87,707,396","$211,700,000"
Saving Private Ryan,Saving-Private-Ryan_Screenplay.txt,"$65,000,000","$216,335,085","$485,035,085"
Lincoln,Lincoln_Screenplay.txt,"$65,000,000","$182,207,973","$273,346,281"
Apollo 13,Apollo-13_Screenplay.txt,"$65,000,000","$173,772,767","$335,802,271"
You’ve Got Mail,You've-Got-Mail_Screenplay.txt,"$65,000,000","$115,821,495","$250,800,000"
Cliffhanger,Cliffhanger_Screenplay.txt,"$65,000,000","$84,049,211","$255,000,000"
Broken Arrow,Broken-Arrow_Screenplay.txt,"$65,000,000","$70,645,997","$148,345,997"
Blade: Trinity,Blade-Trinity_Screenplay.txt,"$65,000,000","$52,397,389","$131,353,165"
Fight Club,Fight-Club_Screenplay.txt,"$65,000,000","$37,030,102","$100,820,947"
Hudson Hawk,Hudson-Hawk_Screenplay.txt,"$65,000,000","$17,218,916","$17,218,916"
Jurassic Park,Jurassic-Park_Screenplay.txt,"$63,000,000","$415,404,543","$1,058,454,230"
Wild Hogs,Wild-Hogs_Screenplay.txt,"$60,000,000","$168,213,584","$253,555,383"
Collateral,Collateral_Screenplay.txt,"$60,000,000","$100,170,152","$217,602,967"
Antz,Antz_Screenplay.txt,"$60,000,000","$90,757,863","$152,457,863"
Man on Fire,Man-On-Fire_Screenplay.txt,"$60,000,000","$77,906,816","$130,968,579"
Coraline,Coraline_Screenplay.txt,"$60,000,000","$75,286,229","$126,037,057"
ParaNorman,ParaNorman_Screenplay.txt,"$60,000,000","$56,003,051","$108,119,662"
Alien: Resurrection,Alien-Resurrection_Screenplay.txt,"$60,000,000","$47,802,866","$160,707,848"
Year One,Year-One_Screenplay.txt,"$60,000,000","$43,337,279","$57,604,723"
Star Trek: Nemesis,Star-Trek-Nemesis_Screenplay.txt,"$60,000,000","$43,254,409","$67,312,826"
Invictus,Invictus_Screenplay.txt,"$60,000,000","$37,491,364","$124,514,011"
Intolerable Cruelty,Intolerable-Cruelty_Screenplay.txt,"$60,000,000","$35,327,628","$121,327,628"
Almost Famous,Almost-Famous_Screenplay.txt,"$60,000,000","$32,522,352","$47,371,191"
Analyze That,Analyze-That_Screenplay.txt,"$60,000,000","$32,122,249","$54,994,757"
Priest,Priest_Screenplay.txt,"$60,000,000","$29,136,626","$84,154,026"
Event Horizon,Event-Horizon_Screenplay.txt,"$60,000,000","$26,673,242","$26,673,954"
